payment_id,subscription_id,payment_date,amount_usd,payment_method
P00001,S0001,2026-03-20,29,Card
P00002,S0001,2026-04-20,29,Card
P00003,S0001,2026-05-20,29,Card
P00004,S0001,2026-06-20,29,Card
P00005,S0002,2025-10-26,149,Card
P00006,S0003,2026-04-20,1490,Apple Pay
P00007,S0004,2026-02-17,1490,PayPal
P00008,S0005,2025-03-15,1490,Card
P00009,S0005,2026-03-15,1490,Card
P00010,S0006,2026-06-08,29,PayPal
P00011,S0007,2026-03-09,290,Card
P00012,S0008,2026-03-24,299,Bank Transfer
P00013,S0008,2026-04-24,299,Bank Transfer
P00014,S0008,2026-05-24,299,Bank Transfer
P00015,S0008,2026-06-24,299,Bank Transfer
P00016,S0009,2025-04-03,790,Bank Transfer
P00017,S0010,2025-10-03,149,Card
P00018,S0010,2025-11-03,149,Card
P00019,S0010,2025-12-03,149,Card
P00020,S0010,2026-01-03,149,Card
P00021,S0010,2026-02-03,149,Card
P00022,S0010,2026-03-03,149,Card
P00023,S0010,2026-04-03,149,Card
P00024,S0010,2026-05-03,149,Card
P00025,S0010,2026-06-03,149,Card
P00026,S0011,2025-09-12,79,Card
P00027,S0012,2026-05-25,2990,Card
P00028,S0013,2026-01-21,149,Card
P00029,S0013,2026-02-21,149,Card
P00030,S0013,2026-03-21,149,Card
P00031,S0013,2026-04-21,149,Card
P00032,S0013,2026-05-21,149,Card
P00033,S0013,2026-06-21,149,Card
P00034,S0014,2026-04-18,290,Apple Pay
P00035,S0015,2025-10-17,2990,Card
P00036,S0016,2025-06-04,29,Apple Pay
P00037,S0016,2025-07-04,29,Apple Pay
P00038,S0016,2025-08-04,29,Apple Pay
P00039,S0016,2025-09-04,29,Apple Pay
P00040,S0016,2025-10-04,29,Apple Pay
P00041,S0016,2025-11-04,29,Apple Pay
P00042,S0016,2025-12-04,29,Apple Pay
P00043,S0016,2026-01-04,29,Apple Pay
P00044,S0017,2025-12-11,79,Bank Transfer
P00045,S0017,2026-01-11,79,Bank Transfer
P00046,S0017,2026-02-11,79,Bank Transfer
P00047,S0018,2026-03-11,149,Bank Transfer
P00048,S0018,2026-04-11,149,Bank Transfer
P00049,S0018,2026-05-11,149,Bank Transfer
P00050,S0018,2026-06-11,149,Bank Transfer
P00051,S0019,2025-02-03,1490,Apple Pay
P00052,S0019,2026-02-03,1490,Apple Pay
P00053,S0020,2026-04-23,29,Card
P00054,S0020,2026-05-23,29,Card
P00055,S0020,2026-06-23,29,Card
P00056,S0021,2026-01-24,29,Card
P00057,S0021,2026-02-24,29,Card
P00058,S0021,2026-03-24,29,Card
P00059,S0021,2026-04-24,29,Card
P00060,S0021,2026-05-24,29,Card
P00061,S0021,2026-06-24,29,Card
P00062,S0022,2026-03-09,79,Card
P00063,S0022,2026-04-09,79,Card
P00064,S0022,2026-05-09,79,Card
P00065,S0022,2026-06-09,79,Card
P00066,S0023,2025-09-09,2990,Bank Transfer
P00067,S0024,2026-06-10,29,Card
P00068,S0025,2026-05-28,1490,Bank Transfer
P00069,S0026,2026-03-16,79,Apple Pay
P00070,S0026,2026-04-16,79,Apple Pay
P00071,S0027,2025-05-24,79,Card
P00072,S0027,2025-06-24,79,Card
P00073,S0027,2025-07-24,79,Card
P00074,S0027,2025-08-24,79,Card
P00075,S0027,2025-09-24,79,Card
P00076,S0027,2025-10-24,79,Card
P00077,S0027,2025-11-24,79,Card
P00078,S0027,2025-12-24,79,Card
P00079,S0027,2026-01-24,79,Card
P00080,S0027,2026-02-24,79,Card
P00081,S0027,2026-03-24,79,Card
P00082,S0027,2026-04-24,79,Card
P00083,S0027,2026-05-24,79,Card
P00084,S0027,2026-06-24,79,Card
P00085,S0028,2025-11-14,1490,Card
P00086,S0029,2025-02-20,79,Card
P00087,S0029,2025-03-20,79,Card
P00088,S0029,2025-04-20,79,Card
P00089,S0029,2025-05-20,79,Card
P00090,S0029,2025-06-20,79,Card
P00091,S0029,2025-07-20,79,Card
P00092,S0029,2025-08-20,79,Card
P00093,S0029,2025-09-20,79,Card
P00094,S0029,2025-10-20,79,Card
P00095,S0029,2025-11-20,79,Card
P00096,S0029,2025-12-20,79,Card
P00097,S0029,2026-01-20,79,Card
P00098,S0029,2026-02-20,79,Card
P00099,S0029,2026-03-20,79,Card
P00100,S0029,2026-04-20,79,Card
P00101,S0029,2026-05-20,79,Card
P00102,S0029,2026-06-20,79,Card
P00103,S0030,2025-04-16,1490,Card
P00104,S0030,2026-04-16,1490,Card
P00105,S0031,2026-02-08,1490,Card
P00106,S0032,2026-03-28,2990,Card
P00107,S0033,2026-06-22,1490,PayPal
P00108,S0034,2025-08-24,29,Card
P00109,S0034,2025-09-24,29,Card
P00110,S0034,2025-10-24,29,Card
P00111,S0034,2025-11-24,29,Card
P00112,S0034,2025-12-24,29,Card
P00113,S0034,2026-01-24,29,Card
P00114,S0035,2025-09-29,149,Card
P00115,S0035,2025-10-29,149,Card
P00116,S0035,2025-11-29,149,Card
P00117,S0035,2025-12-29,149,Card
P00118,S0035,2026-01-29,149,Card
P00119,S0035,2026-02-28,149,Card
P00120,S0035,2026-03-29,149,Card
P00121,S0035,2026-04-29,149,Card
P00122,S0035,2026-05-29,149,Card
P00123,S0035,2026-06-29,149,Card
P00124,S0036,2025-11-08,79,PayPal
P00125,S0036,2025-12-08,79,PayPal
P00126,S0036,2026-01-08,79,PayPal
P00127,S0036,2026-02-08,79,PayPal
P00128,S0037,2026-03-08,149,PayPal
P00129,S0037,2026-04-08,149,PayPal
P00130,S0037,2026-05-08,149,PayPal
P00131,S0037,2026-06-08,149,PayPal
P00132,S0038,2025-05-03,290,Apple Pay
P00133,S0038,2026-05-03,290,Apple Pay
P00134,S0039,2025-04-18,790,PayPal
P00135,S0039,2026-04-18,790,PayPal
P00136,S0040,2025-11-10,149,Card
P00137,S0040,2025-12-10,149,Card
P00138,S0041,2025-06-14,29,PayPal
P00139,S0041,2025-07-14,29,PayPal
P00140,S0041,2025-08-14,29,PayPal
P00141,S0041,2025-09-14,29,PayPal
P00142,S0042,2026-02-07,790,Card
P00143,S0043,2025-10-13,79,Bank Transfer
P00144,S0043,2025-11-13,79,Bank Transfer
P00145,S0043,2025-12-13,79,Bank Transfer
P00146,S0044,2026-04-12,79,Card
P00147,S0044,2026-05-12,79,Card
P00148,S0044,2026-06-12,79,Card
P00149,S0045,2026-02-10,149,Card
P00150,S0045,2026-03-10,149,Card
P00151,S0045,2026-04-10,149,Card
P00152,S0045,2026-05-10,149,Card
P00153,S0045,2026-06-10,149,Card
P00154,S0046,2025-08-24,290,Apple Pay
P00155,S0047,2026-04-18,149,Card
P00156,S0047,2026-05-18,149,Card
P00157,S0047,2026-06-18,149,Card
P00158,S0048,2026-04-15,1490,Bank Transfer
P00159,S0049,2025-09-04,79,Apple Pay
P00160,S0050,2025-07-18,790,Card
P00161,S0051,2026-02-05,29,Card
P00162,S0051,2026-03-05,29,Card
P00163,S0051,2026-04-05,29,Card
P00164,S0051,2026-05-05,29,Card
P00165,S0051,2026-06-05,29,Card
P00166,S0052,2025-04-10,29,Apple Pay
P00167,S0052,2025-05-10,29,Apple Pay
P00168,S0052,2025-06-10,29,Apple Pay
P00169,S0052,2025-07-10,29,Apple Pay
P00170,S0052,2025-08-10,29,Apple Pay
P00171,S0052,2025-09-10,29,Apple Pay
P00172,S0052,2025-10-10,29,Apple Pay
P00173,S0053,2025-05-13,790,Apple Pay
P00174,S0054,2025-01-05,29,PayPal
P00175,S0054,2025-02-05,29,PayPal
P00176,S0054,2025-03-05,29,PayPal
P00177,S0054,2025-04-05,29,PayPal
P00178,S0054,2025-05-05,29,PayPal
P00179,S0054,2025-06-05,29,PayPal
P00180,S0054,2025-07-05,29,PayPal
P00181,S0054,2025-08-05,29,PayPal
P00182,S0054,2025-09-05,29,PayPal
P00183,S0054,2025-10-05,29,PayPal
P00184,S0054,2025-11-05,29,PayPal
P00185,S0054,2025-12-05,29,PayPal
P00186,S0054,2026-01-05,29,PayPal
P00187,S0054,2026-02-05,29,PayPal
P00188,S0054,2026-03-05,29,PayPal
P00189,S0054,2026-04-05,29,PayPal
P00190,S0054,2026-05-05,29,PayPal
P00191,S0054,2026-06-05,29,PayPal
P00192,S0055,2026-03-13,1490,Card
P00193,S0056,2026-01-09,790,Card
P00194,S0057,2026-02-24,29,Card
P00195,S0057,2026-03-24,29,Card
P00196,S0057,2026-04-24,29,Card
P00197,S0057,2026-05-24,29,Card
P00198,S0057,2026-06-24,29,Card
P00199,S0058,2026-03-27,290,Card
P00200,S0059,2025-11-01,1490,Card
P00201,S0060,2026-01-19,290,Card
P00202,S0061,2025-04-20,1490,Card
P00203,S0061,2026-04-20,1490,Card
P00204,S0062,2025-03-12,29,Card
P00205,S0062,2025-04-12,29,Card
P00206,S0063,2026-02-14,2990,Bank Transfer
P00207,S0064,2025-11-24,79,PayPal
P00208,S0064,2025-12-24,79,PayPal
P00209,S0064,2026-01-24,79,PayPal
P00210,S0064,2026-02-24,79,PayPal
P00211,S0064,2026-03-24,79,PayPal
P00212,S0064,2026-04-24,79,PayPal
P00213,S0064,2026-05-24,79,PayPal
P00214,S0064,2026-06-24,79,PayPal
P00215,S0065,2026-01-12,790,PayPal
P00216,S0066,2026-03-02,790,Card
P00217,S0067,2026-01-12,29,Card
P00218,S0067,2026-02-12,29,Card
P00219,S0067,2026-03-12,29,Card
P00220,S0067,2026-04-12,29,Card
P00221,S0067,2026-05-12,29,Card
P00222,S0067,2026-06-12,29,Card
P00223,S0068,2025-12-08,149,Card
P00224,S0068,2026-01-08,149,Card
P00225,S0069,2025-12-12,29,PayPal
P00226,S0069,2026-01-12,29,PayPal
P00227,S0069,2026-02-12,29,PayPal
P00228,S0069,2026-03-12,29,PayPal
P00229,S0069,2026-04-12,29,PayPal
P00230,S0069,2026-05-12,29,PayPal
P00231,S0069,2026-06-12,29,PayPal
P00232,S0070,2025-08-08,290,Apple Pay
P00233,S0071,2025-01-05,290,Card
P00234,S0071,2026-01-05,290,Card
P00235,S0072,2025-10-31,79,Apple Pay
P00236,S0072,2025-11-30,79,Apple Pay
P00237,S0072,2025-12-31,79,Apple Pay
P00238,S0072,2026-01-31,79,Apple Pay
P00239,S0072,2026-02-28,79,Apple Pay
P00240,S0072,2026-03-31,79,Apple Pay
P00241,S0072,2026-04-30,79,Apple Pay
P00242,S0072,2026-05-31,79,Apple Pay
P00243,S0072,2026-06-30,79,Apple Pay
P00244,S0073,2025-06-04,2990,Card
P00245,S0073,2026-06-04,2990,Card
P00246,S0074,2025-10-22,29,Card
P00247,S0075,2026-04-22,1490,PayPal
P00248,S0076,2025-06-19,149,PayPal
P00249,S0076,2025-07-19,149,PayPal
P00250,S0076,2025-08-19,149,PayPal
P00251,S0076,2025-09-19,149,PayPal
P00252,S0076,2025-10-19,149,PayPal
P00253,S0076,2025-11-19,149,PayPal
P00254,S0076,2025-12-19,149,PayPal
P00255,S0076,2026-01-19,149,PayPal
P00256,S0076,2026-02-19,149,PayPal
P00257,S0076,2026-03-19,149,PayPal
P00258,S0076,2026-04-19,149,PayPal
P00259,S0076,2026-05-19,149,PayPal
P00260,S0076,2026-06-19,149,PayPal
P00261,S0077,2025-02-26,290,PayPal
P00262,S0077,2026-02-26,290,PayPal
P00263,S0078,2025-07-01,29,Card
P00264,S0078,2025-08-01,29,Card
P00265,S0078,2025-09-01,29,Card
P00266,S0078,2025-10-01,29,Card
P00267,S0078,2025-11-01,29,Card
P00268,S0078,2025-12-01,29,Card
P00269,S0078,2026-01-01,29,Card
P00270,S0078,2026-02-01,29,Card
P00271,S0078,2026-03-01,29,Card
