subscription_id,customer_id,plan_id,billing_cycle,start_date,end_date,status
S0001,C0001,1,Monthly,2026-03-20,,Active
S0002,C0002,3,Monthly,2025-10-26,2025-11-26,Churned
S0003,C0003,3,Annual,2026-04-20,,Active
S0004,C0004,3,Annual,2026-02-17,,Active
S0005,C0005,3,Annual,2025-03-15,,Active
S0006,C0006,1,Monthly,2026-06-08,,Active
S0007,C0007,1,Annual,2026-03-09,,Active
S0008,C0008,4,Monthly,2026-03-24,,Active
S0009,C0009,2,Annual,2025-04-03,2026-04-03,Churned
S0010,C0010,3,Monthly,2025-10-03,,Active
S0011,C0011,2,Monthly,2025-09-12,2025-10-12,Churned
S0012,C0012,4,Annual,2026-05-25,,Active
S0013,C0013,3,Monthly,2026-01-21,,Active
S0014,C0014,1,Annual,2026-04-18,,Active
S0015,C0015,4,Annual,2025-10-17,,Active
S0016,C0016,1,Monthly,2025-06-04,2026-02-04,Churned
S0017,C0017,2,Monthly,2025-12-11,2026-03-11,Upgraded
S0018,C0017,3,Monthly,2026-03-11,,Active
S0019,C0018,3,Annual,2025-02-03,,Active
S0020,C0019,1,Monthly,2026-04-23,,Active
S0021,C0020,1,Monthly,2026-01-24,,Active
S0022,C0021,2,Monthly,2026-03-09,,Active
S0023,C0022,4,Annual,2025-09-09,,Active
S0024,C0023,1,Monthly,2026-06-10,,Active
S0025,C0024,3,Annual,2026-05-28,,Active
S0026,C0025,2,Monthly,2026-03-16,2026-05-16,Churned
S0027,C0026,2,Monthly,2025-05-24,,Active
S0028,C0027,3,Annual,2025-11-14,,Active
S0029,C0028,2,Monthly,2025-02-20,,Active
S0030,C0029,3,Annual,2025-04-16,,Active
S0031,C0030,3,Annual,2026-02-08,,Active
S0032,C0031,4,Annual,2026-03-28,,Active
S0033,C0032,3,Annual,2026-06-22,,Active
S0034,C0033,1,Monthly,2025-08-24,2026-02-24,Churned
S0035,C0034,3,Monthly,2025-09-29,,Active
S0036,C0035,2,Monthly,2025-11-08,2026-03-08,Upgraded
S0037,C0035,3,Monthly,2026-03-08,,Active
S0038,C0036,1,Annual,2025-05-03,,Active
S0039,C0037,2,Annual,2025-04-18,,Active
S0040,C0038,3,Monthly,2025-11-10,2026-01-10,Churned
S0041,C0039,1,Monthly,2025-06-14,2025-10-14,Churned
S0042,C0040,2,Annual,2026-02-07,,Active
S0043,C0041,2,Monthly,2025-10-13,2026-01-13,Churned
S0044,C0042,2,Monthly,2026-04-12,,Active
S0045,C0043,3,Monthly,2026-02-10,,Active
S0046,C0044,1,Annual,2025-08-24,,Active
S0047,C0045,3,Monthly,2026-04-18,,Active
S0048,C0046,3,Annual,2026-04-15,,Active
S0049,C0047,2,Monthly,2025-09-04,2025-10-04,Churned
S0050,C0048,2,Annual,2025-07-18,,Active
S0051,C0049,1,Monthly,2026-02-05,,Active
S0052,C0050,1,Monthly,2025-04-10,2025-11-10,Churned
S0053,C0051,2,Annual,2025-05-13,2026-05-13,Churned
S0054,C0052,1,Monthly,2025-01-05,,Active
S0055,C0053,3,Annual,2026-03-13,,Active
S0056,C0054,2,Annual,2026-01-09,,Active
S0057,C0055,1,Monthly,2026-02-24,,Active
S0058,C0056,1,Annual,2026-03-27,,Active
S0059,C0057,3,Annual,2025-11-01,,Active
S0060,C0058,1,Annual,2026-01-19,,Active
S0061,C0059,3,Annual,2025-04-20,,Active
S0062,C0060,1,Monthly,2025-03-12,2025-05-12,Churned
S0063,C0061,4,Annual,2026-02-14,,Active
S0064,C0062,2,Monthly,2025-11-24,,Active
S0065,C0063,2,Annual,2026-01-12,,Active
S0066,C0064,2,Annual,2026-03-02,,Active
S0067,C0065,1,Monthly,2026-01-12,,Active
S0068,C0066,3,Monthly,2025-12-08,2026-02-08,Churned
S0069,C0067,1,Monthly,2025-12-12,,Active
S0070,C0068,1,Annual,2025-08-08,,Active
S0071,C0069,1,Annual,2025-01-05,,Active
S0072,C0070,2,Monthly,2025-10-31,,Active
S0073,C0071,4,Annual,2025-06-04,,Active
S0074,C0072,1,Monthly,2025-10-22,2025-11-22,Churned
S0075,C0073,3,Annual,2026-04-22,,Active
S0076,C0074,3,Monthly,2025-06-19,,Active
S0077,C0075,1,Annual,2025-02-26,,Active
S0078,C0076,1,Monthly,2025-07-01,,Active
S0079,C0077,1,Monthly,2025-07-10,,Active
S0080,C0078,1,Annual,2026-01-06,,Active
S0081,C0079,3,Annual,2025-12-18,,Active
S0082,C0080,2,Monthly,2026-03-20,2026-05-20,Churned
S0083,C0081,2,Monthly,2026-01-28,2026-05-28,Churned
